SIZE,FUEL,DISTANCE,DESIBEL,AIRFLOW,FREQUENCY,STATUS
1.0,gasoline,20,96.0,0.0,75.0,0
1.0,gasoline,10,96.0,1.299999999999999,69.0,1
1.0,gasoline,10,96.0,2.6,69.0,1
1.0,gasoline,10,96.0,3.2,68.0,1
1.0,gasoline,10,109.0,4.5,67.0,1
1.0,gasoline,10,109.0,7.8,66.0,1
1.0,gasoline,10,103.0,9.7,65.0,1
1.0,gasoline,10,95.0,12.0,60.0,1
1.0,gasoline,10,102.0,13.3,55.0,1
1.0,gasoline,10,93.0,15.4,52.0,1
1.0,gasoline,10,93.0,15.1,51.0,1
1.0,gasoline,10,95.0,15.2,50.0,1
1.0,gasoline,10,110.0,15.4,48.0,1
1.0,gasoline,10,111.0,15.2,47.0,1
1.0,gasoline,10,109.0,15.4,46.0,1
1.0,gasoline,10,105.0,15.2,45.0,1
1.0,gasoline,10,111.0,16.0,44.0,1
1.0,gasoline,10,110.0,15.7,42.0,1
1.0,gasoline,10,106.0,15.4,40.0,1
1.0,gasoline,10,111.0,15.5,38.0,1
1.0,gasoline,10,110.0,15.2,36.0,1
1.0,gasoline,10,103.0,14.9,35.0,1
1.0,gasoline,10,109.0,14.9,34.0,1
1.0,gasoline,10,108.0,14.9,33.0,1
1.0,gasoline,10,110.0,15.1,32.0,1
1.0,gasoline,10,109.0,17.0,30.0,1
1.0,gasoline,10,108.0,15.5,28.0,1
1.0,gasoline,10,108.0,15.4,27.0,1
1.0,gasoline,10,107.0,15.5,26.0,1
1.0,gasoline,10,109.0,16.6,25.0,1
1.0,gasoline,10,108.0,15.2,24.0,1
1.0,gasoline,10,108.0,15.4,23.0,1
1.0,gasoline,10,108.0,15.4,22.0,1
1.0,gasoline,10,109.0,15.2,21.0,1
1.0,gasoline,10,108.0,15.7,20.0,1
1.0,gasoline,10,108.0,15.2,19.0,1
1.0,gasoline,10,106.0,15.1,18.0,1
1.0,gasoline,10,105.0,14.5,17.0,1
1.0,gasoline,10,105.0,13.8,16.0,1
1.0,gasoline,10,106.0,14.4,15.0,1
1.0,gasoline,10,106.0,12.3,14.0,1
1.0,gasoline,10,93.0,11.9,13.0,1
1.0,gasoline,10,90.0,11.9,12.0,1
1.0,gasoline,10,92.0,12.5,11.0,1
1.0,gasoline,10,105.0,13.8,10.0,1
1.0,gasoline,10,91.0,12.9,9.0,1
1.0,gasoline,10,105.0,12.9,8.0,1
1.0,gasoline,10,105.0,12.3,7.0,1
1.0,gasoline,10,90.0,11.8,6.0,1
1.0,gasoline,10,90.0,11.0,5.0,1
1.0,gasoline,10,88.0,8.8,4.0,1
1.0,gasoline,10,85.0,6.0,3.0,1
1.0,gasoline,10,83.0,3.1,2.0,1
1.0,gasoline,10,75.0,1.299999999999999,1.0,1
1.0,gasoline,20,96.0,0.0,75.0,0
1.0,gasoline,20,96.0,0.0,72.0,0
1.0,gasoline,20,103.0,1.299999999999999,69.0,1
1.0,gasoline,20,107.0,1.299999999999999,68.0,1
1.0,gasoline,20,96.0,4.0,67.0,1
1.0,gasoline,20,105.0,6.5,66.0,1
1.0,gasoline,20,104.0,7.5,65.0,1
1.0,gasoline,20,95.0,9.0,60.0,1
1.0,gasoline,20,103.0,12.0,55.0,1
1.0,gasoline,20,110.0,15.0,52.0,1
1.0,gasoline,20,112.0,14.6,51.0,1
1.0,gasoline,20,113.0,15.2,50.0,1
1.0,gasoline,20,111.0,14.9,48.0,1
